L P minL maxL minP maxP u
0.10043945312500001 6.8359375E-4 0.1 0.10087890625000001 0.0 0.0013671875 3.469446951953614E-18
0.10043945312500001 0.0020507812499999997 0.1 0.10087890625000001 0.0013671875 0.002734375 3.469446951953614E-18
0.101318359375 6.8359375E-4 0.10087890625000001 0.1017578125 0.0 0.0013671875 -0.009999999999999997
0.101318359375 0.0020507812499999997 0.10087890625000001 0.1017578125 0.0013671875 0.002734375 -0.009999999999999997
0.10043945312500001 0.00341796875 0.1 0.10087890625000001 0.002734375 0.004101562499999999 3.469446951953614E-18
0.10043945312500001 0.0047851562499999995 0.1 0.10087890625000001 0.004101562499999999 0.00546875 3.469446951953614E-18
0.101318359375 0.0047851562499999995 0.10087890625000001 0.1017578125 0.002734375 0.00546875 -0.009999999999999997
0.102197265625 6.8359375E-4 0.1017578125 0.10263671875 0.0 0.0013671875 -0.019999999999999997
0.10307617187500001 6.8359375E-4 0.10263671875 0.103515625 0.0 0.0013671875 -0.03
0.102197265625 0.0020507812499999997 0.1017578125 0.103515625 0.0013671875 0.002734375 -0.019999999999999997
0.102197265625 0.00341796875 0.1017578125 0.103515625 0.002734375 0.00546875 -0.019999999999999997
0.10043945312500001 0.00615234375 0.1 0.10087890625000001 0.00546875 0.006835937499999999 3.469446951953614E-18
0.10043945312500001 0.007519531249999999 0.1 0.10087890625000001 0.006835937499999999 0.008203124999999999 3.469446951953614E-18
0.101318359375 0.00615234375 0.10087890625000001 0.1017578125 0.00546875 0.008203124999999999 -0.009999999999999997
0.10043945312500001 0.00888671875 0.1 0.10087890625000001 0.008203124999999999 0.009570312499999999 3.469446951953614E-18
0.10043945312500001 0.01025390625 0.1 0.10087890625000001 0.009570312499999999 0.0109375 3.469446951953614E-18
0.101318359375 0.00888671875 0.10087890625000001 0.1017578125 0.008203124999999999 0.0109375 -0.009999999999999997
0.10307617187500001 0.00888671875 0.1017578125 0.103515625 0.00546875 0.0109375 -0.03
0.103955078125 6.8359375E-4 0.103515625 0.10439453125 0.0 0.0013671875 -0.03
0.10483398437500001 6.8359375E-4 0.10439453125 0.1052734375 0.0 0.0013671875 -0.04
0.10483398437500001 0.0020507812499999997 0.103515625 0.1052734375 0.0013671875 0.002734375 -0.04
0.105712890625 6.8359375E-4 0.1052734375 0.10615234374999999 0.0 0.0013671875 -0.05
0.106591796875 6.8359375E-4 0.10615234374999999 0.10703125 0.0 0.0013671875 -0.060000000000000005
0.106591796875 0.0020507812499999997 0.1052734375 0.10703125 0.0013671875 0.002734375 -0.060000000000000005
0.10483398437500001 0.0047851562499999995 0.103515625 0.10703125 0.002734375 0.00546875 -0.04
0.106591796875 0.007519531249999999 0.103515625 0.10703125 0.00546875 0.0109375 -0.060000000000000005
0.10043945312500001 0.011621093749999999 0.1 0.10087890625000001 0.0109375 0.012304687499999998 3.469446951953614E-18
0.10043945312500001 0.012988281249999999 0.1 0.10087890625000001 0.012304687499999998 0.013671874999999998 3.469446951953614E-18
0.101318359375 0.012988281249999999 0.10087890625000001 0.1017578125 0.0109375 0.013671874999999998 -0.009999999999999997
0.10043945312500001 0.01435546875 0.1 0.10087890625000001 0.013671874999999998 0.015039062499999999 3.469446951953614E-18
0.10043945312500001 0.015722656249999998 0.1 0.10087890625000001 0.015039062499999999 0.016406249999999997 3.469446951953614E-18
0.101318359375 0.01435546875 0.10087890625000001 0.1017578125 0.013671874999999998 0.016406249999999997 -0.009999999999999997
0.10307617187500001 0.012988281249999999 0.1017578125 0.103515625 0.0109375 0.016406249999999997 -0.03
0.10043945312500001 0.01708984375 0.1 0.10087890625000001 0.016406249999999997 0.017773437499999996 3.469446951953614E-18
0.10043945312500001 0.01845703125 0.1 0.10087890625000001 0.017773437499999996 0.019140624999999998 3.469446951953614E-18
0.101318359375 0.01708984375 0.10087890625000001 0.1017578125 0.016406249999999997 0.019140624999999998 -0.009999999999999997
0.10043945312500001 0.019824218749999997 0.1 0.10087890625000001 0.019140624999999998 0.0205078125 3.469446951953614E-18
0.10043945312500001 0.02119140625 0.1 0.10087890625000001 0.0205078125 0.021875 3.469446951953614E-18
0.101318359375 0.02119140625 0.10087890625000001 0.1017578125 0.019140624999999998 0.021875 -0.009999999999999997
0.10307617187500001 0.019824218749999997 0.1017578125 0.103515625 0.016406249999999997 0.021875 -0.03
0.103955078125 0.015722656249999998 0.103515625 0.10703125 0.0109375 0.021875 -0.03
0.10747070312500001 6.8359375E-4 0.10703125 0.10791015625 0.0 0.0013671875 -0.07
0.108349609375 6.8359375E-4 0.10791015625 0.10878906249999999 0.0 0.0013671875 -0.08
0.10747070312500001 0.0020507812499999997 0.10703125 0.10878906249999999 0.0013671875 0.002734375 -0.07
0.10922851562500001 6.8359375E-4 0.10878906249999999 0.10966796874999998 0.0 0.0013671875 -0.09
0.110107421875 6.8359375E-4 0.10966796874999998 0.11054687499999999 0.0 0.0013671875 -0.09
0.10922851562500001 0.0020507812499999997 0.10878906249999999 0.11054687499999999 0.0013671875 0.002734375 -0.09
0.110107421875 0.00341796875 0.10703125 0.11054687499999999 0.002734375 0.00546875 -0.09
0.110986328125 6.8359375E-4 0.11054687499999999 0.11142578125 0.0 0.0013671875 -0.09
0.11186523437500001 6.8359375E-4 0.11142578125 0.1123046875 0.0 0.0013671875 -0.09
0.11186523437500001 0.0020507812499999997 0.11054687499999999 0.1123046875 0.0013671875 0.002734375 -0.09
0.112744140625 6.8359375E-4 0.1123046875 0.11318359375 0.0 0.0013671875 -0.09
0.11362304687500001 6.8359375E-4 0.11318359375 0.1140625 0.0 0.0013671875 -0.09
0.11362304687500001 0.0020507812499999997 0.1123046875 0.1140625 0.0013671875 0.002734375 -0.09
0.110986328125 0.00341796875 0.11054687499999999 0.1140625 0.002734375 0.00546875 -0.09
